,co_volume,cv_volume,sentiment,sentiment_ste
2017-01-02,2257,0,-15.414700125340966,0.8712847501196705
2017-01-03,574,0,-11.48115047940832,1.7473741905668145
2017-01-04,559,0,-9.02400446899552,1.6474106145475138
2017-01-05,595,0,-8.930672268907564,1.8876374632073423
2017-01-06,564,0,-12.541195260610152,1.9224835210701305
2017-01-07,2232,0,-14.819303888060686,0.8355913230257284
2017-01-08,394,0,-17.635372946286655,2.1058287774999873
2017-01-09,588,0,-14.231053532524115,1.6877709843822926
2017-01-10,1536,0,-12.163073936597442,1.0449282952313323
2017-01-11,2683,0,-14.085868357943795,0.7467235535437627
2017-01-12,2395,0,-12.412632974349867,0.8030834884428063
2017-01-13,540,0,-18.80962995623489,1.6705345005460404
2017-01-14,554,0,-12.474679101484156,1.7048876426278934
2017-01-15,1868,0,-15.547717946748707,0.9255887642776487
2017-01-16,550,0,-12.827760430219445,1.7652862459446548
2017-01-17,2850,0,-11.563071405499898,0.759536708654914
2017-01-18,534,0,-12.063603531300162,1.7984853591889753
2017-01-19,2372,0,-9.323443433338936,0.858976291350941
2017-01-20,484,0,-8.007763586275983,1.9345554533878695
2017-01-21,1548,0,-11.465823958556518,1.064800849692063
2017-01-22,428,0,-10.81451194184839,2.119835773277161
2017-01-23,3268,0,-14.003941631941855,0.7029526967283878
2017-01-24,612,0,-18.287859544826755,1.6255747013691564
2017-01-25,542,0,-7.4215930674264,1.7827921901952717
2017-01-27,290,0,1.6871921182266005,2.4820545172316852
2017-01-28,447,0,-2.1135613081921805,2.11763075661321
2017-01-30,2080,0,-7.689818810217525,0.8952895667995776
2017-01-31,2169,0,-11.679257779950587,0.864543814885151
2017-02-01,2191,0,-13.726972526567494,0.8182875893910656
2017-02-02,2261,0,-15.26132720444522,0.8378045036503977
2017-02-03,474,0,-9.998441480999622,1.8683594402511887
2017-02-04,1644,0,-13.300329874662298,1.01555322174254
2017-02-05,1397,0,-6.637645533145192,1.16843102911061
2017-02-06,2293,0,-3.258576071344051,0.8532624637376682
2017-02-07,2321,0,-9.386943519303648,0.832013740977796
2017-02-08,1708,0,-11.74010304622032,0.9860654389940477
2017-02-09,2259,0,-13.986187783047566,0.7952182352527519
2017-02-10,3394,0,-16.01148048128522,0.6161923216960683
2017-02-11,1363,0,-15.137615700555237,1.150485357649685
2017-02-12,1475,0,-10.672098730915318,1.0594351526837447
2017-02-13,2148,0,-11.3997740493631,0.8214507086343991
2017-02-14,2074,0,-8.738990383186524,0.8507058275283005
2017-02-15,1499,0,-14.16844593659064,1.03670466910894
2017-02-16,2358,0,-14.58254194588314,0.8519870363008608
2017-02-17,2288,0,-14.531321301880377,0.8413581599185217
2017-02-18,1955,0,-16.360757695379196,0.8850289580426888
2017-02-19,1253,0,-8.066448164104413,1.0424783944295146
2017-02-20,1868,0,-7.418439945987751,0.9116643564262598
2017-02-21,2234,0,-4.565586435691498,0.7937329164764697
2017-02-22,2079,0,-4.986939286922422,0.8824930765729448
2017-02-23,594,0,-11.789013866469457,1.5803317254799099
2017-02-24,2175,0,-14.405324120613864,0.8769995326201602
2017-02-25,17,0,-23.52941176470588,9.699195557553617
2017-02-26,1123,0,-6.9997037617131275,1.2460477410183004
2017-02-27,815,0,-8.558527340278678,1.519493894239012
2017-02-28,1188,0,-16.34974106738995,1.230123474714098
2017-03-01,2022,0,-12.154586137268195,0.9757736132827075
2017-03-02,2074,0,-11.094779332818405,0.9363137806660871
2017-03-03,2045,0,-12.274045690711405,0.923566360909848
2017-03-04,1644,0,-5.864307128970699,1.051720124469721
2017-03-05,768,0,-5.5821631169522625,1.6163829487861188
2017-03-06,943,0,-10.759920759216003,1.313023558756481
2017-03-07,986,0,-15.23387563931527,1.30609972867953
2017-03-08,3042,0,-18.65755436840614,0.704340727796715
2017-03-09,2582,0,-19.72670243789558,0.8345376388427034
2017-03-10,2146,0,-15.158563454413631,0.9385113030599145
2017-03-11,1396,0,-14.656610422495712,1.15565036813686
2017-03-12,1386,0,-10.710572296983448,1.192090829387165
2017-03-13,2707,0,-7.683675232196786,0.7585699947872063
2017-03-14,2690,0,-7.908847068342991,0.7717524676602067
2017-03-15,2698,0,-13.4952600340331,0.7437961494213657
2017-03-16,566,0,-11.243898262449498,1.6656084511542133
2017-03-17,789,0,-16.75439901328226,1.501268702695247
2017-03-18,1786,0,-15.275312099538343,0.9115174689133343
2017-03-19,1941,0,-9.846082247921348,0.9465014674309441
2017-03-20,2347,0,-10.250086433257877,0.872054382341323
2017-03-21,2244,0,-6.785193324078148,0.8399908601980872
2017-03-22,2217,0,-8.44284391808429,0.8164942795563205
2017-03-23,1953,0,-8.101139595740019,0.9007686647693721
2017-03-24,1855,0,-6.166965026049148,0.9378509683538875
2017-03-25,1345,0,-9.919788203702039,1.1285873183408726
2017-03-26,1534,0,-8.42400129441202,1.047414845368494
2017-03-27,1968,0,-5.527357590621112,0.8621910944056739
2017-03-28,2793,0,-14.068384499862177,0.7722451276604685
2017-03-29,2940,0,-18.886063858973554,0.7836012832041825
2017-03-30,2924,0,-14.221080782608581,0.7540888017470424
2017-03-31,2571,0,-18.167062577293212,0.791407954196343
2017-04-01,1624,0,-15.055131918835379,1.0250064772454759
2017-04-02,2184,0,-14.84480408609632,0.8751646209478157
2017-04-03,2582,0,-15.477850321514424,0.7614107345909076
2017-04-04,2675,0,-15.12682693417961,0.7610855328758228
2017-04-05,2879,0,-15.701698283259613,0.7257712099807587
2017-04-06,4099,0,-15.28543640397107,0.5860290276669234
2017-04-07,3327,0,-13.108942449925642,0.6655587878039039
2017-04-08,2313,0,-8.290090602806766,0.8103041050284288
2017-04-09,2156,0,-12.124841643825942,0.8789419542538996
2017-04-10,3013,0,-11.641089124029458,0.7114490186445154
2017-04-11,4095,0,-18.856166706049564,0.5877988616129579
2017-04-12,4296,0,-19.298023712788215,0.5696206317036225
2017-04-13,3736,0,-14.020571361353944,0.6315020957511327
2017-04-14,3561,0,-19.334212288504965,0.6320632590435338
2017-04-15,2154,0,-20.08471486000368,0.8445860598904394
2017-04-16,2332,0,-14.254044003199773,0.808561862490597
2017-04-17,2867,0,-9.209095045361112,0.7290311967203758
2017-04-18,3389,0,-15.651475036084985,0.6626028120989452
2017-04-19,2736,0,-15.123089012257838,0.7523711593383414
2017-04-20,2942,0,-12.048956619100485,0.7096442985857178
2017-04-21,2498,0,-11.099100535129523,0.7899606318418642
2017-04-22,1707,0,-10.617225025006068,1.0297250074973774
2017-04-23,1555,0,-6.625362331795223,1.0242074533923249
2017-04-24,2565,0,-11.473793535634531,0.7818602777205412
2017-04-25,1345,0,-11.707599593588762,1.1649745807454106
2017-04-26,2973,0,-6.30087586378599,0.7629413183391317
2017-04-27,2558,0,-10.831632539759767,0.8308143820790292
2017-04-28,2758,0,-16.547576205645328,0.8109121201342421
2017-04-29,1873,0,-21.25822618123627,1.0041281665950308
2017-04-30,2080,0,-19.61574492361101,0.9347094281309174
2017-05-01,2241,0,-14.631937601351408,0.8612727658150333
2017-05-02,2385,0,-12.305928931389351,0.8165426993908164
2017-05-03,2296,0,-11.54459497927678,0.8393841586511571
2017-05-04,2251,0,-15.015428602687516,0.8418535821619502
2017-05-05,2191,0,-4.975777291885788,0.842491014541907
2017-05-06,2078,0,-13.984431023263335,0.8570716121117885
2017-05-07,2312,0,-11.430245693985789,0.781133099786615
2017-05-08,2614,0,-12.279852623078117,0.7384235959977449
2017-05-09,2411,0,-8.960581450409512,0.8008023234898415
2017-05-10,2020,0,-9.383211211701711,0.9159682905940429
2017-05-11,2222,0,-6.067433304763858,0.8544784987305746
2017-05-12,2945,0,-6.42692658697807,0.6956250247132976
2017-05-13,1801,0,-6.056444451385948,0.9333250612702201
2017-05-14,1988,0,-0.380173634334349,0.9249301787025448
2017-05-15,1851,0,-7.182543049101271,0.9767678530019108
2017-05-16,2204,0,-7.186914140622822,0.9015322418960784
2017-05-17,2081,0,-10.218158326678408,0.9272671554942297
2017-05-18,2114,0,-7.816687985592235,0.85906992567954
2017-05-19,2231,0,-10.335612314921283,0.8331610357426544
2017-05-20,1929,0,-33.26725277497452,1.1664725166121972
2017-05-21,1817,0,-29.596562963943963,1.2193287479704344
2017-05-22,2304,0,-15.483332807246732,0.9826747340508497
2017-05-23,2199,0,-7.593684433429418,0.8935131967204891
2017-05-24,2482,0,-8.994376655672417,0.7680871896730748
2017-05-25,2391,0,-7.097247114736076,0.8086240697439484
2017-05-26,2069,0,-10.443534360202602,0.8708877949150087
2017-05-27,1089,0,-11.33011754203697,1.3619886012808216
2017-05-28,1577,0,-12.034733448414837,1.0836904616775742
2017-05-29,2111,0,-16.02567051442992,0.9025411404416404
2017-05-30,2642,0,-15.379899743974196,0.765636201110084
2017-05-31,3274,0,-16.799944616043454,0.7112827544605178
2017-06-01,4533,0,-18.964571496383282,0.6255659423487288
2017-06-02,3793,0,-21.322249828469957,0.6938887241270542
2017-06-03,2291,0,-17.876331333684988,0.8663401413815448
2017-06-04,1756,0,-14.368022182554574,1.0221469825058693
2017-06-05,2688,0,-10.211169540552607,0.7636290160393555
2017-06-06,2680,0,-13.334538708845244,0.804013853434696
2017-06-07,2355,0,-12.410539788910997,0.8636167138281245
2017-06-08,2106,0,-10.142180539232228,0.9721792213254791
2017-06-09,1811,0,-10.237372688964049,1.0318358542641888
2017-06-10,1471,0,-13.64825995390726,1.1171217650914642
2017-06-11,1516,0,-12.552611643374409,1.1166745251841177
2017-06-12,2128,0,-11.104901551706368,0.900077043704244
2017-06-13,632,0,-16.91946656543175,1.732043495072028
2017-06-14,563,0,-12.088161681594965,1.7887043603473478
2017-06-15,2481,0,-7.958835705051361,0.7813352520830238
2017-06-16,552,0,-9.469194122069297,1.8468408820164757
2017-06-17,1354,0,-8.13351005650932,1.1631050455061234
2017-06-18,1385,0,-8.672163476708553,1.1557592126905103
2017-06-19,2040,0,-7.674940836597548,0.9313223165121824
2017-06-20,3342,0,-14.312393012244002,0.6884649996092914
